"ID","問題","正解","選択肢2","選択-肢3","選択肢4","解説","ヒント"
"OIWA-01","この業務の発注者名はどれですか？","静岡市上下水道局","土岐市","小牧市","静岡県","業務報告の基本情報に記載されています。発注者は静岡「市」の「上下水道局」です。","発注者名の項目を確認しましょう。"
"OIWA-02","この業務の対象となる大岩排水区の面積はどれですか？","21.8ha","45.5ha","50.0ha","10.0ha","業務目的の冒頭に「大岩排水区(21.8ha)における浸水被害軽減を目的とし」と明記されています。","数字を正確に記憶しましょう。"
"OIWA-03","この業務の目的として、計画時に配慮した項目に含まれないものはどれですか？","新病院へのアクセス性","施工性","周辺環境","経済性","「新病院へのアクセス性」は市道71781号線（土岐市）の業務目的です。この業務では施工性、周辺環境、経済性に配慮しました。","この業務で配慮した3つのポイントを思い出しましょう。"
"OIWA-04","あなたが主担当者として果たした役割を最も的確に表しているのはどれですか？","浸水対策の基本設計業務の全般にわたる計画の立案","道路設計と河川設計の整合性の調整","流域治水の理念に基づく整備方針の協議","施工業者との価格交渉","あなたの果たした役割に「基本設計業務の全般にわたる計画の立案を行い」とあります。","この業務でのあなたの役割は、計画全体を取りまとめることでした。"
"OIWA-05","浸水要因を特定し解決策を検討した結果、立案された計画の3つの柱となる手法の組み合わせとして正しいものはどれですか？","分流、細分化、既存ストック活用","貯留、ポンプ増強、堤防強化","拡幅、浚渫、護岸安定","浸透、流出抑制、雨水利用","業務内容に「幹線水路の分流及び排水区域の細分化、既存ストックの有効活用を行った」とあります。","この業務の技術的キーワード3点セットです。"
"OIWA-06","この計画が目指した「実現性」とは、何の実現性が高い計画のことですか？","浸水被害軽減の実現性","短期工期内での完成の実現性","予算内での執行の実現性","住民合意形成の実現性","業務内容の最後に「浸水被害軽減の実現性の高い計画を立案した」とあります。","この業務の根本的な目的を考えましょう。"
"OIWA-07","技術上の問題点として挙げられた、この排水区の浸水要因は何でしたか？","ネック地点における流水断面の不足","計画降雨を上回る豪雨の発生","排水ポンプの能力不足","既存管渠の著しい老朽化","技術上の問題点の冒頭に「浸水要因は、ネック地点における流水断面の不足であった」と明記されています。","水がスムーズに流れなくなった物理的な原因です。"
"OIWA-08","単純に水路を改築して幹線水路へ直接接続する対策の問題点・懸念点は何でしたか？","別地点での浸水の誘発","工事期間中の交通渋滞","用地買収の困難化","維持管理費の増大","「放流先への流量が過大となり、別地点での浸水の誘発が懸念された」とあります。","一つの問題を解決したら、別の場所で新たな問題が起きる可能性がありました。"
"OIWA-09","下流への負担を分散させるために、まず行った対策は何ですか？","放流先を二分した","巨大な調整池を設置した","全ての水路を2倍の大きさにした","強力な排水ポンプを設置した","対策の記述に「対策として、放流先を二分して負担を分散し」とあります。","流れ着く先を一つから二つに増やしました。"
"OIWA-10","放流先を二分した後、既存水路の能力を活かすために行った対策は何ですか？","排水区域を細分化して流路を制限・再配分した","既存水路内に中継ポンプを設置した","既存水路の勾配を急にした","既存水路をすべて撤去し新設した","「排水区域を細分化して既存水路の流路を制限・再配分した」とあります。","水を流すエリアを細かく区切ってコントロールしました。"
"OIWA-11","分流した一方を上流側の放流先河川へ流すにあたり、事前に何を確認しましたか？","当該区間の流下能力","河川の管理者名","河川の水質","周辺の土地利用状況","「当該区間の流下能力（計画高水時の余裕、平常時の水位・流量）を事前に確認し」とあります。","本当にその川に流しても大丈夫か、川のキャパシティを確認しました。"
"OIWA-12","上流側河川への放流で、許容放流量を踏まえて設けた制御は何ですか？","時刻・流量の制御","水位による自動ゲート制御","遠隔操作によるバルブ制御","浸透トレンチによる流量制御","「許容放流量を踏まえた時刻・流量の制御を設けた」とあります。","いつ、どれくらいの量を流すかをコントロールする仕組みです。"
"OIWA-13","上流側河川への放流条件を精査した結果、どのような効果が得られましたか？","分流幹線を1200×1200へ縮小できた","工事期間を半分に短縮できた","総事業費を30%削減できた","用地買収が不要になった","「分流幹線は最大1400×1400から1200×1200へ縮小でき」とあります。","無理なく流せることがわかったため、管を小さくできました。"
"OIWA-14","分流幹線を縮小できたことによる副次的なメリットは何ですか？","埋設物との干渉低減と土被りの確保","景観の向上","交通規制の緩和","騒音・振動の低減","「埋設物との干渉低減と土被りの確保を両立した」とあります。","管が小さくなったことで、他の地下埋設物を避けやすくなりました。"
"OIWA-15","分流点に大型桝を設置しなかった最大の理由は何ですか？","交通影響が大きいため","設置するスペースがなかったため","コストが非常に高いため","技術的に設置が困難だったため","「分流点では大型桝の設置は交通影響が大きいため」とあります。","大きな穴を掘る工事は、交通の妨げになると判断しました。"
"OIWA-16","大型桝の代わりに、大規模な開削を回避するために採用した手法は何ですか？","既存幹線内に越流壁を設置","小口径のバイパス管を設置","シールド工法による小規模な立坑を設置","推進工法で小型桝を設置","「既存幹線内に越流壁を設置して水位差を利用した越流制御とし、大規模な開削を回避した」とあります。","既存の施設を少し改造するだけで目的を達成しました。"
"OIWA-17","越流壁は何を利用して水の流れを制御しますか？","水位差","ポンプ圧","ゲートの開閉","流速","「水位差を利用した越流制御」と記述されています。","水の高さの差を使って、自然に水が分かれて流れるようにする仕組みです。"
"OIWA-18","一連の技術的対策によって達成された最終的な成果は何ですか？","下流負荷の適正化と浸水被害の軽減","抜本的なコスト削減","画期的な工期短縮","CO2排出量の大幅な削減","技術上の問題点の結論として「下流負荷の適正化と浸水被害を軽減し、施工実現性の高い計画とした」とあります。","この業務の二大目的を達成しました。"
"OIWA-19","業務実施上の問題点として、本業務の現場はどのような場所でしたか？","住宅街","商業地域","工業地帯","山間部","「本業務は、住宅街における浸水対策で」と記述されています。","人が住んでいる場所での工事は、特に配慮が必要です。"
"OIWA-20","業務実施上の問題点として、時間的な制約は何でしたか？","短期工期","年度末までの竣工","梅雨時期を避ける必要性","長期的な計画","「短期工期の中で測量も伴ったため」とあります。","短い期間で多くのことを進める必要がありました。"
"OIWA-21","測量班との連携において、特に徹底したことは何ですか？","工程調整と住民への周知・安全配慮","コスト管理","測量精度の確認","最新測量機器の導入","「測量班との工程調整と住民への周知・安全配慮を徹底した」とあります。","スムーズに、かつ安全に進めるための工夫です。"
"OIWA-22","手戻りを抑制するために、測量班や発注者と共同で実施したことは何ですか？","現地合同踏査","週次の定例会議","オンラインでの情報共有会","シミュレーションの実施","「測量班・発注者との現地合同踏査を実施し、手戻りを抑制した」とあります。","関係者が一緒に現場を見ることで、認識のズレを防ぎました。"
"OIWA-23","現地合同踏査の最大の目的は何でしたか？","発注者の要求事項を明確化すること","測量範囲を確定すること","住民への説明を行うこと","危険箇所を特定すること","「発注者の要求事項を明確化するため、測量班・発注者との現地合同踏査を実施し」とあります。","発注者が何を求めているのかを、現場で具体的に確認しました。"
"OIWA-24","古い水路の調査で直面した問題点は何でしたか？","資料が不明確だったこと","水路が完全に閉塞していたこと","所有者が多数存在し複雑だったこと","有害物質が検出されたこと","「資料が不明確な古い水路については」という記述から始まります。","昔の水路は、図面などが残っていないことがよくあります。"
"OIWA-25","資料が不明確な水路の権利関係を整理するために、活用しなかった調査方法はどれですか？","地中レーダー探査","公図の確認","過去文献の調査","関係者への聴取","本文では公図、過去文献、関係者聴取の3点が挙げられています。地中レーダー探査は物理的な位置を探るもので、権利関係の調査とは異なります。","権利関係を調べるための文献や人からの情報を思い出しましょう。"
"OIWA-26","一連の基礎整理を踏まえてネックポイントを特定するために行った評価は何ですか？","実態に即した流量計算と水理評価","概算でのコスト評価","シミュレーションによる浸水解析","AIによるリスク評価","「これらの基礎整理を踏まえ、実態に即した流量計算と水理評価でネックポイントを特定し」とあります。","集めた情報をもとに、水の流れを科学的に分析しました。"
"OIWA-27","生活道路に重なる区間の計画で、交通機能と施工性に配慮して組み込んだ対策に含まれないものはどれですか？","全面通行止めによる短期集中工事","段階施工","占用計画","仮復旧","本文には段階施工、占用計画、仮復旧が挙げられています。住宅街の生活道路で全面通行止めは影響が大きすぎるため、通常は避けます。","住民の生活への影響を最小限にするための工夫です。"
"OIWA-28","円滑な合意形成を進めるために連携を図った施設管理者として、本文に記載がないものはどれですか？","電力・ガス事業者","河川管理者","下水道管理者","道路管理者","本文には河川・下水道・道路・公園の施設連携が挙げられています。電力・ガスも重要ですが、この文脈では記載されていません。","この業務で直接関係したインフラ施設を思い出しましょう。"
"OIWA-29","上流側の放流先河川について、河川管理者と協議したことは何ですか？","放流条件","河川の利用計画","環境保全対策","維持管理の分担","「上流側の放流先河川については、河川管理者と放流条件を協議し」とあります。","どれくらいの水を、どのように流して良いかを取り決めました。"
"OIWA-30","河川管理者との協議・確認を経て、最終的にどのような計画として取りまとめましたか？","実現性の高い計画","コストを最優先した計画","最新技術を導入した計画","環境への影響がゼロの計画","「実現性の高い計画として取りまとめ、適切に業務を完遂することが出来た」とあります。","絵に描いた餅ではなく、確実に実行できる計画にしました。"
"OIWA-31","「現時点での評価」として、この計画が浸水被害の解決と同時に配慮したことは何ですか？","周辺住民の生活環境","事業の収益性","最新技術のPR効果","行政手続きの簡素化","評価の冒頭に「住宅地であることから、浸水被害の解決を目的としつつ、周辺住民の生活環境に対しても配慮した」とあります。","技術的な解決だけでなく、人々の暮らしへの配慮も重要でした。"
"OIWA-32","評価において、特に重点を置いたとされている技術的な工夫は何ですか？","既存ストックを有効活用すること","すべての管渠を新設すること","排水ポンプの能力を最大化すること","調整池の容量を増やすこと","評価の記述に「既存ストックを有効活用することに重点を置いた」とあります。","新しいものを作るだけでなく、今あるものを賢く使う視点です。"
"OIWA-33","上流側の放流先河川への放流について、評価で特に強調されている点は何ですか？","許容放流量内での運用を前提としたこと","放流管の口径を最大化したこと","24時間均等に放流したこと","放流先の河川を浚渫したこと","評価には「許容放流量内での運用を前提化し、別地点での氾濫誘発を回避」したとあります。","安全に流せる範囲を厳守したことがポイントです。"
"OIWA-34","技術的な工夫の結果、被害軽減と施工実現性の両立のほかに、どのような効果に繋がったと評価されていますか？","コスト削減","工期の大幅な短縮","維持管理フリーの実現","周辺地価の上昇","評価の最後に「被害軽減と施工実現性を両立し、コスト削減にも繋がった」とあります。","良い計画は、性能だけでなく経済性にも貢献します。"
"OIWA-35","短期工期という課題に対し、あなたが心掛けた姿勢は何と表現されていますか？","フロントローディングな姿勢","トップダウン的な姿勢","ボトムアップ的な姿勢","リアクティブな姿勢","評価部分に「短期工期であったことから、フロントローディングな姿勢での対応を心掛け」たとあります。","問題が起きる前に、先回りして手を打つ考え方です。"
"OIWA-36","フロントローディングな姿勢の具体策として、本文に記載がないものはどれですか？","最新の解析ソフトの導入","広範かつ抜け漏れのない情報収集","社内チーム及び発注者との協調","関係者協議の早期実施","本文では情報収集、協調、早期協議が挙げられています。解析ソフトの導入については言及されていません。","先手を打つための行動を3つ思い出しましょう。"
"OIWA-37","フロントローディングな姿勢で業務を進めた結果、どのような効果が得られましたか？","手戻りを抑制した","総事業費を半減させた","住民からの感謝状を受け取った","表彰を受けた","評価部分に「相互理解を深め、手戻りを抑制した」とあります。","やり直しをなくすことが、円滑な業務遂行の鍵でした。"
"OIWA-38","「業務実施上の問題点」の記述で、測量班との工程調整と並行して徹底したことは何ですか？","住民への周知・安全配慮","測量ミスのチェック","最新機器の操作訓練","日報の提出","「測量班との工程調整と住民への周知・安全配慮を徹底した」とあります。","住民が暮らすエリアでの業務は、安全と情報提供が不可欠です。"
