"ID","問題","正解","選択肢1","選択肢2","選択肢3","選択肢4","選択肢5","解説","ヒント"
"R7-01","次a～eの文について、測量法（昭和24年法律第188号）に規定されている事項として正しいものを選べ。誤っているものの組み合わせを選べ。","2","a，c","a，d","b，d","b，e","c，e","",""
"R7-02","次a～eの文について、国際地球基準座標系（ITRF）について正しいものを選べ。誤っているものの組み合わせを選べ。","2","a，c","a，d","b，c","b，e","d，e","",""
"R7-03","次1～5の文について、公共測量における測量計画機関又は測量作業機関の対応として誤っているものを選べ。","1","1","2","3","4","5","",""
"R7-04","次a～eの文について、公共測量における測量作業機関の対応として誤っているものの組み合わせを選べ。","2","a，b","a，d","b，e","c，d","c，e","",""
"R7-05","正規分布に関する次の記述について、空欄に入る最も適当な数値の組み合わせを選べ。","4","0，95.5，97.7，10","0，95.5，99.7，21","1，93.5，97.7，42","1，95.5，99.7，42","1，97.5，99.7，21","",""
"R7-06","測量法に定める測量の基準について誤っているものを選べ。","2","1","2","3","4","5","",""
"R7-07","公共測量におけるトータルステーションを用いた基準点測量について、空欄に入る最も適当な語句の組み合わせを選べ。","3","長く，既知点間距離較差","長く，測点間距離標準偏差","短く，測点間距離較差","短く，既知点間距離標準偏差","短く，測点間距離標準偏差","",""
"R7-08","既知点A・Bを基に新点Cの座標を求める際、Y座標の標準偏差はいくらか。最も近い値を選べ。","1","10mm","12mm","14mm","16mm","18mm","",""
"R7-09","準天頂衛星について誤っているものを選べ。","5","1","2","3","4","5","",""
"R7-10","GNSS測量機を用いた基準点測量について誤っているものを選べ。","4","1","2","3","4","5","",""
"R7-11","新点A～Eのうち、最も標高が高い地点はどれか。","2","新点A","新点B","新点C","新点D","新点E","",""
"R7-12","公共測量における水準測量について誤っているものの組み合わせを選べ。","5","a，c","a，e","b，d","b，e","c，d","",""
"R7-13","2級水準測量の観測結果について、再測すべき最も適当な路線はどれか。","3","路線(1)","路線(2)","路線(3)","路線(4)","路線(5)","",""
"R7-14","公共測量における地形測量について誤っているものを選べ。","3","1","2","3","4","5","",""
"R7-15","GNSS測量機を用いた現地測量について誤っているものを選べ。","2","1","2","3","4","5","",""
"R7-16","地上レーザースキャナを用いた測量について誤っているものを選べ。","1","1","2","3","4","5","",""
"R7-17","UAV写真点群測量において、撮影基準面での同一トラック内写真間の重複度は何%か。","3","80%","84%","87%","90%","99.2%","",""
"R7-18","人工衛星に関する記述について誤っているものを選べ。","3","1","2","3","4","5","",""
"R7-19","UAVを用いた測量について誤っているものを選べ。","3","1","2","3","4","5","",""
"R7-20","三次元点群データ作成について誤っているものの組み合わせを選べ。","4","a，c","a，d","b，d","b，e","c，e","",""
"R7-21","電子地形図25000の一部について、誤っているものの組み合わせを選べ。","4","a，c","a，d","b，d","b，e","c，e","",""
"R7-22","地図投影法について誤っているものの組み合わせを選べ（すべて誤っているものを含む）。","5","a，c，d","b，c，e","a，b，d，e","a，c，d，e","a，b，c，d，e（すべて誤っている）","",""
"R7-23","防災分野におけるGIS及び地理空間情報の活用方法について誤っているものを選べ。","4","1","2","3","4","5","",""
"R7-24","地理空間情報活用推進基本法等に規定する基盤地理情報について誤っているものを選べ。","2","1","2","3","4","5","",""
"R7-25","基本型クロソイド（対称型）道路建設計画において、交角Iの角度はいくらか。最も近い値を選べ。","2","55°","66°","72°","79°","86°","",""
"R7-26","公共測量における用地測量について誤っているものを選べ。","2","1","2","3","4","5","",""
"R7-27","境界点A～Dで囲まれる土地の面積はいくらか。最も近い値を選べ。","3","787.200m²","814.600m²","823.800m²","851.250m²","953.700m²","",""
"R7-28","公共測量における河川測量について、空欄に入る最も適当な語句の組み合わせを選べ。","2","縦断，堤内，横断測量，直角，最高","横断，堤内，中心線測量，直角，最低","縦断，堤外，中心線測量，接線，平均","横断，堤内，横断測量，直角，最高","線形，堤外，中心線測量，接線，最低","",""
