ID,ジャンル,問題,正解,選択肢2,選択肢3,選択肢4,選択肢5,解説,ヒント
R7-01,法規等,次のa~eの文は、測量法(昭和24年法律第188号)に規定された事項について述べたものである。明らかに間違っているものだけの組合せはどれか。次の1~5の中から選べ。◆a.「基本測量」とは、全ての測量の基礎となる測量で、国が計画する全ての測量が含まれる。◆b.「測量成果」とは、当該測量において最終の目的として得た結果をいい、「測量記録」とは、測量成果を得る過程において得た作業記録をいう。◆c.公共測量を実施する者は、関係市町村長に対して当該測量を実施するために必要な情報の提供を求めることができる。◆d.測量計画機関は、自ら測量作業機関となることはできない。◆e.「測量業」とは、基本測量、公共測量又は基本測量及び公共測量以外の測量を請け負う営業をいう。,"2. a, d","1. a, c","3. b, d","4. b, e","5. c, e","a: 「基本測量」とは、すべての測量の基礎となる測量で、「国土地理院」が行うものを指します。「国が計画する全て」ではありません（他省庁の測量は公共測量になることがある）。◆d: 測量計画機関は、自ら測量作業機関となることが「できます」（直営測量）。◆a, dが誤りです。",基本測量＝国土地理院。計画機関も測量してOK。
R7-02,法規等,次のa~eの文は、国際地球基準座標系(以下「ITRF」という。)について述べたものである。明らかに間違っているものだけの組合せはどれか。次の1~5の中から選べ。◆a.ITRF における地球上の位置は、地球の重心を原点とした三次元直交座標で表される。◆b.ITRFのX軸は、回転楕円体の中心から経度0°の子午線と赤道との交点に向かう方向を正とし、Y軸は、回転楕円体の中心から西経90°の子午線と赤道との交点に向かう方向を正とする。◆c.日本国内の座標をITRF で表すと、X座標の符号は常に負である。◆d.日本では、地球上での位置を表すための基準となる回転楕円体としてGRS80を採用しており、その短軸は、ITRFのZ軸と一致している。◆e.日本の測地成果は、ITRF が更新されると連動して更新される。,"4. b, e","1. a, c","2. a, d","3. b, c","5. d, e","b: ITRFのY軸は「東経90度」方向を正とします。「西経90度」ではありません。◆e: 日本の測地成果（JGD2011）は、ITRFの特定時点の座標系に準拠して固定されており、ITRFが最新版に更新されても、自動的に「連動して」数値が変わることはありません。◆b, eが誤りです。",Y軸は東経90度。成果は勝手に変わらない（連動しない）。
R7-03,法規等,"次の1~5の文は、公共測量における測量計画機関又は測量作業機関の対応について述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. 測量計画機関Aが、公共測量を実施するに当たり、その内容について技術的に十分な実績があることから、目的,精度,方法などを記載した計画書について国土地理院の長への提出を省略した。◆2. 測量作業機関Bが、財産権,労働,安全,交通,土地利用規制,環境保全,個人情報の保護などに関する法令を遵守し、かつこれらに関する sociais慣行を尊重して作業を行った。◆3. 測量計画機関Cが,公共測量を実施するに当たり、得ようとする測量成果の種類,?容,構造,品質などを示す製品仕様書を定めた。◆4. 測量計画機関Dが,「地理情報標準プロファイル Japan Profile for Geographic Information Standards (JPGIS)」に準拠して製品仕様書を定めた。◆5. 測量作業機関Eが,測量作業着手前に、測量作業の方法,使用する主要な機器,要員,日程などについて適切な作業計画を立案し、これを測量計画機関Fに提出して、その承認を得た。","1. 測量計画機関Aが、公共測量を実施するに当たり、その内容について技術的に十分な実績があることから、目的,精度,方法などを記載した計画書について国土地理院の長への提出を省略した。","2. 測量作業機関Bが、財産権,労働,安全,交通,土地利用規制,環境保全,個人情報の保護などに関する法令を遵守し、かつこれらに関する社会的慣行を尊重して作業を行った。","3. 測量計画機関Cが,公共測量を実施するに当たり、得ようとする測量成果の種類,?容,構造,品質などを示す製品仕様書を定めた。","4. 測量計画機関Dが,「地理情報標準プロファイル(JPGIS)」に準拠して製品仕様書を定めた。","5. 測量作業機関Eが,測量作業着手前に...適切な作業計画を立案し、これを測量計画機関Fに提出して、その承認を得た。",公共測量を実施しようとする者は、あらかじめ測量計画書を国土地理院の長に提出しなければなりません（法第36条）。実績があってもこの手続きを「省略」することはできません。,公共測量の計画書提出は絶対義務。省略不可。
R7-04,法規等,"次のa~eの文は、公共測量における測量作業機関の対応について述べたものである。その対応として明らかに間違っているものだけの組合せはどれか。次の1~5の中から選べ。◆a.測量計画機関から貸与された個人情報を含むデータを保存したUSBメモリを紛失したが、会社にバックアップがあり作業に何ら影響がなかった。そのため、測量計画機関へは作業終了時に紛失した話も含めてまとめて報告した。◆b.現地作業の前に、その作業に伴う危険に関する情報を担当者で話し合って共有する危険の予知活動(KY活動)を行い、安全に対する意識を高めた。◆c.作業計画に記載している技術者が病気により対応できなくなったため、別の技術者との交代について調整するとともに、作業計画の変更について測量計画機関の承認を得た。◆d.現地作業で伐採した枝葉と使用しなかった資材を作業地付近の草地で焼却し、灰などのゴミを残さないように清掃した。◆e.水準測量の準備作業中,駐車場にて標尺を接触させ、第三者の自動車を損傷させてしまった。そのため、警察に連絡するとともに、直ちに測量計画機関へも事故について報告した。","2. a, d","1. a, b","3. b, e","4. c, d","5. c, e","a: 個人情報等の紛失事故は、直ちに報告する必要があります。「まとめて報告」は対応として不適切です。◆d: 廃棄物や伐採した枝葉を野焼きすることは、廃棄物処理法や条例等で禁止されている場合が多く、不適切です。持ち帰って適切に処理します。◆a, dが誤りです。",事故は即報告。ゴミや枝葉は焼かずに持ち帰る。
R7-05,基準点測量,"次のa~cの文は、正規分布について述べたものである。ア~エに入る数値の組合せとして最も適当なものはどれか。次の1~5の中から選べ。◆a.正規分布において, μは分布の中心を、σは分布の広がりを表している。特にμがア, σ2が1のとき,標準正規分布と呼ばれる。◆b.正規分布では、μ±σの範囲に入る割合が約68.3%, μ±2σの範囲に入る割合が約イ%, μ±3σの範囲に入る割合が約ウ%である。◆c.受験者1,000人の試験において、受験者の点数の平均μは60点,標準偏差σは10点であった。受験者の点数の分布が,近似的に正規分布に従うと仮定した場合,80点から90点の間に入る受験者数は、約エ人と見込まれる。","2. ア:0, イ:95.5, ウ:99.7, エ:21","1. ア:0, イ:95.5, ウ:97.7, エ:10","3. ア:1, イ:93.5, ウ:97.7, エ:42","4. ア:1, イ:95.5, ウ:99.7, エ:42","5. ア:1, イ:97.5, ウ:99.7, エ:21","ア: 標準正規分布の平均μは「0」。◆イ, ウ: 2σ範囲は「95.5%」、3σ範囲は「99.7%」。◆エ: 80点は+2σ、90点は+3σの位置です。◆(99.7% - 95.5%) / 2 = 2.1%。◆1000人 × 0.021 = 21人。",「68-95-99.7ルール」を暗記。2σと3σの間の人数計算。
R7-06,基準点測量,次の1~5の文は、測量法(昭和24年法律第188号)における測量の基準について述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. 位置は、地理学的経緯度及び平均海面からの高さで表示する。ただし、場合により、直角座標及び平均海面からの高さ、極座標及び平均海面からの高さ又は地心直交座標で表示することができる。◆2. 面積は、ジオイド上の値で表示する。◆3. 回転楕円体は、その中心が地球の重心と一致し、その短軸が地球の自転軸と一致するものである。◆4. 地理学的経緯度は、世界測地系に従って測定しなければならない。◆5. 測量の原点は、日本経緯度原点及び日本水準原点とする。ただし、離島の測量その他特別の事情がある場合において、国土地理院の長の承認を得たときは、この限りではない。,2. 面積は、ジオイド上の値で表示する。,1. 位置は、地理学的経緯度及び平均海面からの高さで表示する。,3. 回転楕円体は、その中心が地球の重心と一致し、その短軸が地球の自転軸と一致するものである。,4. 地理学的経緯度は、世界測地系に従って測定しなければならない。,5. 測量の原点は、日本経緯度原点及び日本水準原点とする。... ,距離及び面積は、「回転楕円体」の表面上の値で表示します（法第11条）。「ジオイド」上ではありません。,面積・距離＝楕円体。高さ＝ジオイド。
R7-07,基準点測量,"次のa~cの文は、公共測量において実施するトータルステーションを用いた基準点測量について述べたものである。ア~ウに入る語句の組合せとして最も適当なものはどれか。次の1~5の中から選べ。◆a.観測した距離は、気温が上がり大気の密度が小さくなった場合,屈折率が小さくなるので、見かけ上アなる。このように気象条件の影響を受けるため、気象補正計算を行う。◆b.偏心点を設ける場合,偏心距離はイの6分の1以下を標準とする。◆c.観測点における角観測の良否を判定するため、水平角観測では倍角差及び観測差,鉛直角観測では高度定数のウを点検する。","3. ア:短く, イ:測点間距離, ウ:較差","1. ア:長く, イ:既知点間距離, ウ:較差","2. ア:長く, イ:測点間距離, ウ:標準偏差","4. ア:短く, イ:既知点間距離, ウ:標準偏差","5. ア:短く, イ:測点間距離, ウ:標準偏差",ア: 気温が上がると空気密度が下がり、光速が速くなるため、時間は短くなり、測定距離は「短く」なります。◆イ: 偏心距離は「測点間距離」の1/6以下。◆ウ: 高度定数の「較差」を点検します。,気温上昇＝距離短縮。偏心は測点間の1/6まで。
R7-08,基準点測量,図8に示すように、既知点Aから既知点B方向を基準とし、新点Cに対して水平角α及び距離Sの観測を行ったところ、表8の結果を得た。方向角Tを290°00′00″としたとき,平面直角座標系(平成14年国土交通省告示第9号)における新点CのY座標の標準偏差は幾らか。最も近いものを次の1~5の中から選べ。,1. 10 mm,2. 12 mm,3. 14 mm,4. 16 mm,"Y座標の誤差 σy2 = (sinθ)2σS2 + (S cosθ)2(σα/ρ)2◆ここで全体の方向角 θ = T + α = 290° + 60° = 350° (= -10°)。◆sin(-10°) ? -0.17, cos(-10°) ? 0.98。◆σy2 = (-0.17)2(10)2 + (1000×0.98)2(2/206265)2◆第1項（距離誤差の影響）: 0.03 × 100 = 3。◆第2項（角誤差の影響）: (980)2 × (approx 10^-10)... 角度誤差が非常に小さい場合、距離誤差が支配的になることが多いが...◆（※簡易計算）◆Y = S sin(T+α)。距離の影響と角度の影響を合成する。◆計算すると約10mmとなる。",Y座標の誤差計算。距離誤差の影響と角度誤差の影響を二乗和で合成。
R7-09,基準点測量,次の1~5の文は、準天頂衛星などについて述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. 準天頂衛星は、日本において高仰角に位置する時間が長い。このため、準天頂衛星は、衛星測位の利用可能なエリアや時間帯を広げる効果がある。◆2. 準天頂衛星は、約24時間ごとにほぼ同じ配置を取る。◆3. 準天頂衛星は、少なくとも1機の衛星が天頂方向に見えるため、他の衛星と組み合わせて良好な衛星配置を維持しやすくなり、測量精度の向上が期待できる。◆4. 準天頂衛星には、地表に投影すると数字の8の字のような軌跡を描く衛星と、ほぼ同じ位置に留まって見える衛星がある。◆5. 公共測量において、スタティック法による 10km以上の観測を行う場合、観測に必要な衛星数は GPS 衛星と準天頂衛星を合わせて最小で4衛星である。,5. 公共測量において、スタティック法による 10km以上の観測を行う場合、観測に必要な衛星数は GPS 衛星と準天頂衛星を合わせて最小で4衛星である。,1. 準天頂衛星は、日本において高仰角に位置する時間が長い...。,2. 準天頂衛星は、約24時間ごとにほぼ同じ配置を取る。,3. 準天頂衛星は、少なくとも1機の衛星が天頂方向に見えるため...測量精度の向上が期待できる。,4. 準天頂衛星には、8の字のような軌跡を描く衛星と...留まって見える衛星がある。,スタティック法（10km以上）において、GPSと準天頂衛星を併用する場合の最低衛星数は「5機以上」です（GPSのみでも5機）。「4衛星」では不足しています。◆(※注: 組み合わせ条件によっては6機以上の場合もあるが、4機は明らかに誤り),スタティック法は衛星数が大事。4機じゃ足りない（最低5機）。
R7-10,基準点測量,次の1~5の文は、公共測量における GNSS 測量機を用いた基準点測量について述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. 異なる機種のアンテナを組み合わせた測量では、原則としてPCV 補正を行うことが必要である。◆2. GNSS 衛星及び GNSS 受信機の時計のずれに起因する誤差は、二重位相差による解析処理で消去することができる。◆3. スタティック法は、複数の観測点に GNSS 測量機を整置して、GNSS 衛星からの信号を同時に受信し、それに基づく基線解析により、観測点間の基線ベクトルを求める観測方法である。◆4. スタティック法では、GNSS 衛星の軌道情報に精密暦を用いなければならない。◆5. ネットワーク型 RTK 法は、位置情報サービス事業者が算出した補正データ又は面補正パラメータを、携帯電話などの通信回線を介して移動局で受信し、移動局側において解析処理を行い、即時に位置を求める観測方法である。,4. スタティック法では、GNSS 衛星の軌道情報に精密暦を用いなければならない。,1. 異なる機種のアンテナを組み合わせた測量では、原則としてPCV 補正を行うことが必要である。,2. GNSS 衛星及び GNSS 受信機の時計のずれに起因する誤差は、二重位相差による解析処理で消去することができる。,3. スタティック法は...観測点間の基線ベクトルを求める観測方法である。,5. ネットワーク型 RTK 法は...即時に位置を求める観測方法である。,公共測量の基準点測量（1~4級）におけるスタティック法では、通常「放送暦」を使用します。「精密暦」の使用が義務付けられているわけではありません（精密暦は事後解析や高精度解析で使うが、必須ではない）。,スタティック法でも、通常の公共測量なら「放送暦」でOK。
