"ID","問題","選択肢1","選択肢2","選択肢3","選択肢4","選択肢5","解説","ヒント"
"R1-01","次のａ～ｅの文は，測量法（昭和24年法律第188号）に規定された事項について述べたものである。明らかに間違っているものだけの組合せはどれか。次の中から選べ。 a.公共測量を実施する者は，当該測量において設置する測量標に，公共測量の測量標であること及び測量計画機関の名称を表示しなければならない。（法37条1） b.測量計画機関は，自ら計画した測量を実施してはならない。 c.基本測量及び公共測量以外の測量を実施しようとする者は，あらかじめ，国土交通省令で定めるところにより，その旨を国土交通大臣に届け出なければならない。（法46条1） d.基本測量若しくは公共測量に従事する者又はその他の者で，基本測量又は公共測量の測量成果をして，真実に反するものたらしめる行為をした者は，懲役又は罰金に処する。（法62条） e.基本測量の測量成果及び測量記録の謄本又は抄本の交付を受けようとする者は，国土交通省令で定めるところにより，国土交通大臣に申請をしなければならない。（法28条1）","b, e","a, c","a, d","b, d","c, e","b：測量計画機関は自ら測量を実施できる（法7条）。e：謄本交付は「申請」ではなく「請求」（法28条1項）が正しい。","測量計画機関＝実施可。謄本＝請求（申請ではない）。"
"R1-02","次のａ～ｅの文は，国際地球基準座標系（ITRF）について述べたものである。明らかに間違っているものだけの組合せはどれか。次の中から選べ。 a. ITRFは，GNSSなどの宇宙測地技術を用いた観測に基づき構築・維持されている。 b. ITRFのX軸は経度0度の子午線と赤道の交点を通る直線である。 c. ITRFのY軸は東経90度の子午線と赤道の交点を通る直線である。 d. ITRFで表される三次元直交座標（X,Y,Z）のZの値は，標高である。 e.日本の測地成果は，ITRFが更新されると連動して更新される。","d, e","a, c","a, e","b, c","c, d","d：Zは地心直交座標の成分であり標高ではない。e：日本の測地成果（例：測地成果2011）はITRF更新と自動連動しない。","ITRF＝地心座標。標高＝平均海面基準。日本は独自更新。"
"R1-03","次の文は，地理情報標準プロファイル（JPGIS）について述べたものである。明らかに間違っているものはどれか。次の中から選べ。 1. JPGISは，地理情報に関する国際規格（ISO規格）及び日本工業規格（JIS規格）の中から，基本的な要素を抽出し，体系化したものである。 2.測量計画機関が公共測量を実施しようとするときは，得ようとする測量成果の製品仕様書を，JPGISに準拠して作成しなければならない。 3. JPGISで定義する概念スキーマは，HTML（Hyper Text Markup Language）を使用して記述する。 4. JPGISに準拠して整備されたデータがすべて同じXML形式で作成されているわけではない。 5.国土地理院が整備した基盤地図情報は，JPGISに準拠して作成されており，インターネットで無償で提供されている。","3","1","2","4","5","JPGISの概念スキーマはUML（統一モデリング言語）で記述。HTMLは不適切。","JPGIS＝UML記述。HTMLはマークアップ言語、モデリング非対応。"
"R1-04","点P(－2.0, 1.0)を原点を中心に反時計回りにθ回転させたところ，点P'(－2.1749, －0.5195)となった。このときのθは幾らか。最も近いものを次の中から選べ。","40°","38°","42°","44°","46°","回転行列より tanθ ≈ 0.839 → θ ≈ 40°。","回転角＝arctan(b/a)。座標変換で逆行列も有効。"
"R1-05","次のａ～ｃの文は，正規分布の性質について述べたものである。ア～エに入る数値の組合せとして最も適当なものはどれか。 a. μ=0, σ=（ア）のとき標準正規分布。 b. μ±3σの範囲に入る確率は約（イ）%。 c. 受験者2000人でμ=65点, σ=10点のとき，55～75点の人数は（ウ）人，45～85点は（エ）人。","1, 99.7, 1366, 1910","0, 97.4, 680, 1320","1, 97.4, 1366, 1910","2, 97.4, 680, 1320","2, 99.7, 1366, 1910","標準正規分布：μ=0, σ=1。±3σ＝99.73%。55～75＝±1σ→68.3%→1366人。45～85＝±2σ→95.5%→1910人。","±1σ＝68.3%、±2σ＝95.5%、±3σ＝99.7%。人数＝2000×割合。"
"R1-06","次のａ～ｅの文は，測量法における測量の基準について述べたものである。明らかに間違っているものだけの組合せはどれか。次の中から選べ。 a.基本測量及び公共測量における位置は，地理学的経緯度及び平均海面からの高さで表示する。ただし，場合により，地理学的経緯度及び楕円体からの高さで表示することができる。 b.基本測量及び公共測量における距離及び面積は，測量法で規定する回転楕円体の表面上の値で表示する。 c.測量の原点は，日本経緯度原点及び日本水準原点とする。 d.測量法で規定する世界測地系とは，地球を扁平な回転楕円体であると想定して行う地理学的経緯度の測定に関する測量の基準をいう。 e.測量法で規定する回転楕円体は，その中心が地球の重心と一致し，その長軸が地球の自転軸と一致するものである。","a, e","a, d","b, c","b, d","c, e","a：高さは「標高（平均海面基準）」のみ。楕円体高での表示は不可。e：回転楕円体の**短軸**が自転軸と一致（長軸ではない）。","位置表示＝経緯度＋標高。回転楕円体＝短軸＝自転軸。"
"R1-07","次の文は，公共測量におけるトータルステーションを用いた基準点測量の精度管理について述べたものである。明らかに間違っているものはどれか。次の中から選べ。 1.観測に使用する主要な機器は，作業前及び作業中に適宜点検を行い必要な調整をする。 2.観測点における角観測の良否を判定するため，倍角差，観測差，高度定数の較差を点検する。 3.偏心点を設ける場合，偏心距離は測点間距離の6分の1以下とする。 4.既知点間の水平位置及び標高の閉合差を計算し観測の良否を判定する。 5.厳密水平網平均計算及び厳密高低網平均計算による新点位置及び新点標高の標準偏差の許容範囲は100 mmを標準とする。","5","1","2","3","4","新点標高の標準偏差許容値は**200 mm**（公共測量作業規準第43条）。","標高精度＝200mm。位置精度＝100mm（別基準）。"
"R1-08","公共測量におけるトータルステーションを用いた1級基準点測量において，点1（標高23.50m）と点2（標高97.70m）間の距離及び高低角を観測した。地球の平均曲率半径6370km，ジオイド高平均40.00mを用いて，点1・点2間の基準面上の距離は幾らか。最も近いものを次の中から選べ。","1,418.13 m","1,418.09 m","1,418.11 m","1,418.15 m","1,418.17 m","補正距離＝D×cosαm×(Rm/(Rm+hm))。hm＝平均標高＋ジオイド高≈102m。計算結果≈1418.13m。","基準面距離＝観測距離×地球曲率・標高補正。"
"R1-09","次の文は，公共測量におけるGNSS測量機を用いた基準点測量について述べたものである。明らかに間違っているものはどれか。次の中から選べ。 1.対流圏における電波の伝搬遅延に起因する誤差は，2周波の観測により軽減することができる。 2.アンテナ位相特性が異なるアンテナ同士でのGNSS測量では，PCV補正を適用することで精度を確保できる。 3. GPS，準天頂衛星システム，GLONASSの衛星を組み合わせて測量を行うことができる。 4. GNSS衛星の軌道情報は放送暦を使用する。 5. ネットワーク型RTK法は，補正データを通信回線で受信し，移動局で即時解析する方法である。","1","2","3","4","5","対流圏遅延誤差は**周波数非依存**のため、2周波観測では軽減できない。イオン圏誤差のみ軽減可能。","2周波＝イオン圏誤差軽減。対流圏＝気象補正で対応。"
"R1-10","既知点A及び新点BにおいてGNSS測量を行い，AからBまでの楕円体面上の距離8000.00m，Bの楕円体高65.40mを得た。Aの標高45.00m，楕円体高83.00m，ジオイドが1000mあたり－0.02mで一様に傾斜しているとき，Bの標高は幾らか。最も近いものを次の中から選べ。","27.56 m","27.14 m","27.24 m","27.40 m","28.56 m","Aのジオイド高＝83－45＝38m。Bのジオイド高＝38＋(－0.02×8)＝37.84m。Bの標高＝65.40－37.84＝27.56m。","標高＝楕円体高－ジオイド高。ジオイド傾斜を距離で補正。"
