"ID","問題","正解","選択肢2","選択肢3","選択肢4","解説","ヒント"
"K-H25-1","H25-1. 縮尺1/500の平面図において２点間の長さが４㎝ある場合、現地での実際の距離を求めたものとして、正しいものをa～dのなかから選びなさい。","c. 20ｍ","a. 2.0ｍ;b. 8.0ｍ;d. 80ｍ","縮尺1/500は、図面上の1の長さが、実際の現場では500の長さであることを意味します。図面上の長さが4cmなので、実際の距離は 4cm × 500 = 2000cm となります。これをメートルに換算すると 2000cm ÷ 100 = 20m となります。","実際の距離 = 図面上の距離 × 縮尺の分母。単位の換算（cm → m）に注意。"
"K-H25-2","H25-2. 標高の表記において、「TP+15ｍ」の解釈として、正しいものをa～dのなかから選びなさい。","d. 東京湾平均海面から15ｍの高さを示す。","a. 利根川平均水位から15ｍの高さを示す。;b. 荒川平均水位から15ｍの高さを示す。;c. 日本水準原点から15ｍの高さを示す。","T.P.はTokyo Peilの略で、東京湾の平均海面を基準（T.P.±0m）とした標高です。したがって、「TP+15m」は東京湾平均海面から15m高いことを示します。日本の標高の基準となります。","T.P.は何の略称かを考える。"
"K-H25-3","H25-3. 右図の片持ち梁全長(Ａ－Ｂ)に等分布荷重ｗが作用する場合、梁支点部(Ａ点)での曲げモーメントを表す式として、正しいものをa～dのなかから選びなさい。","b. M=(wL^2)/2","a. M=(wL^4)/4;c. (wL^2)/8;d. (wL^2)/6","片持ち梁の固定支点に生じる曲げモーメントは、等分布荷重wと、その合力(wL)が作用する位置（重心位置 L/2）の積で求められます。したがって、M = wL × (L/2) = (wL^2)/2 となります。","曲げモーメント = 力 × 距離。等分布荷重の合力が作用する位置は？"
"K-H25-4","H25-4. 右図に示すように単純梁に鉛直荷重が作用している。左図のような鉄筋コンクリートのスパン中央梁断面において、正曲げモーメントが作用している場合、主として引張応力を負担する鉄筋として、正しいものをa～dのなかから選びなさい。（Aが上辺、Bが下辺、Cが右辺、Dが左辺）","b. 鉄筋（Ｂ）","a. 鉄筋（Ａ）;c. 鉄筋（Ｃ）;d. 鉄筋（Ｄ）","単純梁の中央部に上から荷重がかかると、梁は下に凸の形にたわみます。このとき、梁の上側には圧縮応力が、下側には引張応力が生じます。鉄筋は引張応力を負担するため、梁の下側に配置された鉄筋(B)が主として引張力を受け持ちます。","梁がどのようにたわむか（変形するか）をイメージする。"
"K-H25-5","H25-5．右図のように下端ピンの門型ラーメンの柱上端に水平力が作用している場合、曲げモーメント図として、正しいものをa～dのなかから選びなさい。","d. 図D","a. 図A;b. 図B;c. 図C","柱上端に水平力が作用すると、柱には片持ち梁のような曲げモーメントが発生します。柱頭で最大となり、ピン支点である柱脚ではゼロになります。梁には柱からのモーメントが伝達されますが、左右対称の構造と荷重ではないため、梁のモーメントも非対称になります。図Dがこの条件に合致します。","柱脚がピン支持なので、柱脚のモーメントはゼロになる。"
"K-H25-6","H25-6．JISに規定されている鉄筋の種類として、誤っているものをa～dのなかから選びなさい。","c．SD385","a．SD295A/B;b．SD345;d．SD490","JIS G 3112で規定されている鉄筋コンクリート用棒鋼の種類の公称値は、SD295, SD345, SD390, SD490などです。SD385という規格は存在しません。","鉄筋のJIS規格の数値は、下二桁が「90」や「45」になるものが多い。"
"K-H25-7","H25-7．鉄筋コンクリート梁におけるスターラップの役目として、正しいものをa～dのなかから選びなさい。","b．せん断破壊による斜めひび割れに対するせん断補強。","a．曲げによる引張応力に抵抗させる。;c．応力を主鉄筋に有効に分布させる。;d．荷重による応力集中、温度や乾燥収縮によるひび割れに対する用心のための補助。","スターラップ（あばら筋）は、主鉄筋を囲むように配置される鉄筋で、主にせん断力によって生じる斜めひび割れに抵抗し、せん断破壊を防ぐ役割を担います。","スターラップは「あばら筋」とも呼ばれる。どの方向の力に抵抗するか？"
"K-H25-8","H25-8. PC鋼材に長期間引張応力を与えたままにしておくと、しだいに塑性変形を起こし、PC鋼材に与えた引張応力が減少することの呼称として、正しいものをa～dのなかから選びなさい。","a. リラクセーション","b. クリープ;c. パーシャルプレストレス;d. 乾燥収縮","一定のひずみ（長さ）を保ったままの状態で、時間経過とともに応力が減少する現象をリラクセーション（応力緩和）といいます。PC鋼材で起こる現象です。一方、クリープは一定の応力下でひずみが増大する現象で、主にコンクリートで問題となります。","主語が「PC鋼材」であることに着目。応力が減少する現象は？"
"K-H25-9","H25-9. 鉄筋かごを建込み施工する場所打ち杭の名称として、正しいものをa～dのなかから選びなさい。","b. リバースサーキュレーションドリル杭","a. SC杭;c. PHC杭;d. 鋼管杭","場所打ち杭は、現場で地面に穴を掘り、鉄筋かごを挿入してコンクリートを打設して造る杭です。リバースサーキュレーションドリル杭は、その代表的な工法の一つです。SC杭、PHC杭、鋼管杭は、工場で製造された既製杭です。","「場所打ち」か「既製杭」かを見分ける。"
"K-H25-10","H25-10. 次の文章に該当する土質調査の名称として、正しいものをa～dのなかから選びなさい。「質量63.5㎏のハンマーを高さ75㎝から落下させ、サンプラーを30㎝貫入させるのに要する打撃回数(Ｎ値)を測定したり、サンプラー内の土試料の採取を行ったりする。」","c. 標準貫入試験","a. オランダ式コーン貫入試験;b. 一軸圧縮試験;d. 平板載荷試験","記述されている内容は、地盤の硬さを示すN値を求めるための標準貫入試験の規定そのものです。ハンマーの質量、落下高さ、貫入長、N値というキーワードが特徴です。","「N値」を求める試験は何か？"
